Fecha;Incremento Muertos;Muertos;Muertos / millón;Incrementos;Confirmados;Confirmados / 100.000 - 14 días
08/08/2022;6;19.13;1.118,08;405;1.057.694;234,67
07/08/2022;10;19.124;1.117,73;671;1.057.289;237,43
06/08/2022;18;19.114;1.117,14;2.491;1.056.618;241,74
05/08/2022;14;19.096;1.116,09;2.729;1.054.127;254,33
04/08/2022;12;19.082;1.115,27;3.205;1.051.398;275,21
03/08/2022;6;19.07;1.114,57;3.278;1.048.193;293,48
02/08/2022;13;19.064;1.114,22;2.323;1.044.915;313,61
01/08/2022;14;19.051;1.113,46;216;1.042.592;335,17
31/07/2022;10;19.037;1.112,64;1.102;1.042.376;338,40
30/07/2022;22;19.027;1.112,06;3.523;1.041.274;341,71
29/07/2022;33;19.005;1.110,77;9.946;1.037.751;351,92
28/07/2022;0;18.972;1.108,84;0;1.027.805;334,22
27/07/2022;19;18.972;1.108,84;4.914;1.027.805;378,08
26/07/2022;13;18.953;1.107,73;5.349;1.022.891;394,63
25/07/2022;6;18.94;1.106,97;876;1.017.542;402,07
24/07/2022;9;18.934;1.106,62;1.409;1.016.666;404,41
23/07/2022;29;18.925;1.106,09;4.645;1.015.257;410,67
22/07/2022;15;18.896;1.104,40;6.301;1.010.612;416,79
21/07/2022;21;18.881;1.103,52;6.331;1.004.311;415,27
20/07/2022;9;18.86;1.102,30;6.723;997.98;412,09
19/07/2022;12;18.851;1.101,77;6.012;991.257;402,79
18/07/2022;17;18.839;1.101,07;768;985.245;374,63
17/07/2022;9;18.822;1.100,07;1.669;984.477;375,13
16/07/2022;31;18.813;1.099,55;5.269;982.808;374,12
15/07/2022;14;18.782;1.097,74;6.918;977.539;363,64
14/07/2022;12;18.768;1.096,92;7.504;970.621;350,13
13/07/2022;8;18.756;1.096,22;7.747;963.117;335,92
12/07/2022;23;18.748;1.095,75;6.621;955.37;316,02
11/07/2022;10;18.725;1.094,41;1.277;948.749;299,75
10/07/2022;9;18.715;1.093,82;2.479;947.472;295,87
09/07/2022;28;18.706;1.093,30;5.693;944.993;285,57
08/07/2022;12;18.678;1.091,66;6.041;939.3;270,19
07/07/2022;18;18.666;1.090,96;5.786;933.259;253,34
06/07/2022;20;18.648;1.089,91;5.133;927.473;238,03
05/07/2022;12;18.628;1.088,74;1.194;922.34;243,28
04/07/2022;16;18.616;1.088,03;852;921.146;236,30
03/07/2022;9;18.6;1.087,10;1.497;920.294;232,77
02/07/2022;19;18.591;1.086,57;3.476;918.797;225,77
01/07/2022;11;18.572;1.085,46;4.607;915.321;215,78
30/06/2022;26;18.561;1.084,82;5.072;910.714;199,97
29/06/2022;19;18.535;1.083,30;4.342;905.642;179,52
28/06/2022;12;18.516;1.082,19;3.838;901.3;166,64
27/06/2022;7;18.504;1.081,49;612;897.462;153,12
26/06/2022;6;18.497;1.081,08;717;896.85;150,43
25/06/2022;22;18.491;1.080,73;3.062;896.133;147,49
24/06/2022;13;18.469;1.079,44;3.158;893.071;144,43
23/06/2022;21;18.456;1.078,68;3.166;889.913;125,97
22/06/2022;21;18.435;1.077,46;6.032;886.747;113,65
21/06/2022;0;18.414;1.076,23;0;880.715;86,59
20/06/2022;13;18.414;1.076,23;248;880.715;93,20
19/06/2022;8;18.401;1.075,47;298;880.467;92,37
18/06/2022;22;18.393;1.075,00;1.768;880.169;91,23
17/06/2022;20;18.371;1.073,72;1.902;878.401;86,54
16/06/2022;27;18.351;1.072,55;1.573;876.499;80,32
15/06/2022;15;18.324;1.070,97;2.138;874.926;76,04
14/06/2022;16;18.309;1.070,09;1.525;872.788;68,88
13/06/2022;6;18.293;1.069,16;151;871.263;64,84
12/06/2022;5;18.287;1.068,81;215;871.112;64,37
11/06/2022;26;18.282;1.068,51;2.537;870.897;63,65
10/06/2022;0;18.256;1.066,99;0;868.36;52,89
09/06/2022;12;18.256;1.066,99;1.059;868.36;56,87
08/06/2022;10;18.244;1.066,29;1.401;867.301;54,27
07/06/2022;10;18.234;1.065,71;1.132;865.9;50,87
06/06/2022;5;18.224;1.065,12;106;864.768;47,88
05/06/2022;11;18.219;1.064,83;102;864.662;47,73
04/06/2022;12;18.208;1.064,19;965;864.56;47,83
03/06/2022;18;18.196;1.063,49;839;863.595;45,55
02/06/2022;10;18.178;1.062,44;840;862.756;45,97
01/06/2022;16;18.168;1.061,85;914;861.916;45,83
31/05/2022;21;18.152;1.060,92;833;861.002;45,13
30/05/2022;14;18.131;1.059,69;71;860.169;44,29
29/05/2022;9;18.117;1.058,87;92;860.098;44,39
28/05/2022;24;18.108;1.058,34;695;860.006;44,27
27/05/2022;37;18.084;1.056,94;682;859.311;43,45
26/05/2022;23;18.047;1.054,78;614;858.629;43,33
25/05/2022;33;18.024;1.053,43;818;858.015;45,35
24/05/2022;22;17.991;1.051,51;621;857.197;40,57
23/05/2022;15;17.969;1.050,22;80;856.576;41,05
22/05/2022;12;17.954;1.049,34;120;856.496;40,92
21/05/2022;19;17.942;1.048,64;574;856.376;40,67
20/05/2022;31;17.923;1.047,53;911;855.802;40,88
19/05/2022;28;17.892;1.045,72;817;854.891;39,70
18/05/2022;22;17.864;1.044,08;794;854.074;38,48
17/05/2022;13;17.842;1.042,80;689;853.28;37,96
16/05/2022;7;17.829;1.042,04;88;852.591;34,83
15/05/2022;5;17.822;1.041,63;71;852.503;34,44
14/05/2022;25;17.817;1.041,34;555;852.432;34,40
13/05/2022;20;17.792;1.039,88;662;851.877;35,12
12/05/2022;53;17.772;1.038,71;960;851.215;36,39
11/05/2022;0;17.719;1.035,61;0;850.255;36,21
10/05/2022;16;17.719;1.035,61;703;850.255;40,83
09/05/2022;4;17.703;1.034,67;57;849.552;40,32
08/05/2022;1;17.699;1.034,44;78;849.495;40,46
07/05/2022;15;17.698;1.034,38;610;849.417;41,19
06/05/2022;30;17.683;1.033,50;709;848.807;43,64
05/05/2022;17;17.653;1.031,75;607;848.098;44,54
04/05/2022;14;17.636;1.030,76;706;847.491;47,20
03/05/2022;9;17.622;1.029,94;153;846.785;48,32
02/05/2022;13;17.613;1.029,41;21;846.632;52,74
01/05/2022;16;17.6;1.028,65;65;846.611;52,91
